TM SOLVERS:

========================================================================================================================
Model           | Tier       | sharpSAT (s)    | Ganak (s)       | d4 Eval (s)     | d4 Comp (s)    
cancer          | max_tree   | 0.0332               | 0.0014              
sachs           | no_ev      | 0.0357               | 0.0007              
sachs           | few_ev     | 0.0363               | 0.0010              
sachs           | much_ev    | 0.0382               | 0.0013              
sachs           | max_tree   | 0.0508               | 0.0018              
alarm           | no_ev      | 0.0479               | 0.0008              
alarm           | few_ev     | 0.0726               | 0.0030              
alarm           | much_ev    | 0.0574               | 0.0239              
alarm           | max_tree   | 0.2733               | 0.0080              
child           | no_ev      | 0.0348               | 0.0008              
child           | few_ev     | 0.0407               | 0.0016              
child           | much_ev    | 0.0444               | 0.0023              
child           | max_tree   | 0.0572               | 0.0031              
water           | no_ev      | 0.1277               | 0.0018              
water           | few_ev     | 0.1392               | 0.0035              
water           | much_ev    | 0.0925               | 0.1415              
water           | max_tree   | 0.4589               | 0.0854 
barley          | no_ev      | 0.0231               | 0.0006              
barley          | few_ev     | T/O                  | 0.2876              
barley          | much_ev    | 11.4291              | MEM_OUT             
barley          | max_tree   | T/O                  | 43.2118             
hailfinder      | no_ev      | 0.0309               | 0.0009              
hailfinder      | few_ev     | 0.2802               | 0.0044              
hailfinder      | much_ev    | 0.0697               | MEM_OUT             
hailfinder      | max_tree   | 1.6149               | 0.8198              
win95pts        | no_ev      | 0.0309               | 0.0007              
win95pts        | few_ev     | 0.0423               | 0.0038              
win95pts        | much_ev    | 0.0541               | MEM_OUT             
win95pts        | max_tree   | 0.2703               | 0.0127              
andes           | no_ev      | 0.2313               | 0.0092              
andes           | few_ev     | 0.1974               | MEM_OUT             
andes           | much_ev    | 0.0988               | MEM_OUT             
andes           | max_tree   | T/O                  | 3.6690              
link            | no_ev      | 0.1188               | 0.0029              
link            | few_ev     | T/O                  | MEM_OUT             
link            | much_ev    | 0.1766               | MEM_OUT             
link            | max_tree   | T/O                  | MEM_OUT             
pathfinder      | no_ev      | 0.0499               | 0.0010              
pathfinder      | few_ev     | 1.3037               | MEM_OUT             
pathfinder      | much_ev    | 0.3117               | MEM_OUT             
pathfinder      | max_tree   | 0.7052               | MEM_OUT             
munin2          | no_ev      | 0.0303               | 0.0011              
munin2          | few_ev     | 48.6229              | MEM_OUT             
munin2          | much_ev    | 0.5360               | MEM_OUT             
munin2          | max_tree   | T/O                  | MEM_OUT             
munin           | no_ev      | 0.0343               | 0.0020              
munin           | few_ev     | T/O                  | MEM_OUT             
munin           | much_ev    | 0.5219               | MEM_OUT             
munin           | max_tree   | T/O                  | MEM_OUT    




pruned rerun:
==========================================================================================
Model           | Tier       | sharpSAT (s)         | Var. Elimination (s)
------------------------------------------------------------------------------------------
asia            | no_ev      | 0.0340               | 0.0007              
asia            | few_ev     | 0.0322               | 0.0011              
asia            | much_ev    | 0.0336               | 0.0013              
asia            | max_tree   | 0.0357               | 0.0016              
cancer          | no_ev      | 0.0363               | 0.0006              
cancer          | few_ev     | 0.0404               | 0.0010              
cancer          | much_ev    | 0.0416               | 0.0012              
cancer          | max_tree   | 0.0443               | 0.0013              
sachs           | no_ev      | 0.0506               | 0.0008              
sachs           | few_ev     | 0.0541               | 0.0013              
sachs           | much_ev    | 0.0589               | 0.0015              
sachs           | max_tree   | 0.0697               | 0.0020              
alarm           | no_ev      | 0.0653               | 0.0007              
alarm           | few_ev     | 0.0911               | 0.0029              
alarm           | much_ev    | 0.0676               | 0.0172              
alarm           | max_tree   | 0.2734               | 0.0092              
child           | no_ev      | 0.0485               | 0.0009              
child           | few_ev     | 0.0529               | 0.0016              
child           | much_ev    | 0.0584               | 0.0025              
child           | max_tree   | 0.0718               | 0.0031              
water           | no_ev      | 0.0729               | 0.0014              
water           | few_ev     | 0.1619               | 0.0066              
water           | much_ev    | 0.1359               | 6.0573              
water           | max_tree   | 0.5036               | 0.1076              
barley          | no_ev      | 23.4857 (1 TO)       | 0.0021              
barley          | few_ev     | 2.4467 (4 TO)        | 1.2457 (1 MO)       
barley          | much_ev    | 6.1701               | MEM_OUT             
barley          | max_tree   | T/O                  | 44.9864             
hailfinder      | no_ev      | 0.5396               | 0.0015              
hailfinder      | few_ev     | 0.2095               | 0.0053              
hailfinder      | much_ev    | 0.1168               | MEM_OUT             
hailfinder      | max_tree   | 2.1137               | MEM_OUT             
win95pts        | no_ev      | 0.0451               | 0.0007              
win95pts        | few_ev     | 0.0750               | 0.0044              
win95pts        | much_ev    | 0.0666               | MEM_OUT             
win95pts        | max_tree   | 0.2760               | 0.0126              
andes           | no_ev      | 1.0177               | 0.0060              
andes           | few_ev     | 16.2263              | MEM_OUT             
andes           | much_ev    | 0.1478               | MEM_OUT             
andes           | max_tree   | T/O                  | 3.7146              
link            | no_ev      | 0.0655               | 0.0023              
